name              dmb     dmb_err   zcmb      c       c_err   x1      x1_err   lmass   lmass_up   lmass_low   lsfr    lsfr_up   lsfr_low   lssfr   lssfr_up   lssfr_low   gmass   gmass_up   gmass_low   p_young   p_highmass   notes
SNF20080731-000   -0.16   0.13      0.0755    +0.07   0.03    -1.31   0.11     8.22    +0.17      -0.18       -3.64   +0.25     -0.45      -11.9   +0.3       -0.5        9.99    +0.10      -0.10       0         47           --
SNF20080802-006   -0.07   0.13      0.0711    -0.00   0.03    -1.66   0.11     8.02    +0.17      -0.17       -3.84   +0.28     -0.48      -11.9   +0.3       -0.5        10.69   +0.10      -0.10       0         100          --
SNF20080803-000   -0.03   0.12      0.0568    +0.11   0.03    +0.37   0.13     8.31    +0.11      -0.11       -2.94   +0.04     -0.05      -11.2   +0.1       -0.1        10.66   +0.10      -0.10       0         100          --
SNF20080806-002   -0.07   0.12      0.0610    +0.04   0.03    +0.75   0.15     8.72    +0.10      -0.11       -1.92   +0.01     -0.01      -10.6   +0.1       -0.1        10.36   +0.10      -0.10       95        100          --
SNF20080810-001   +0.02   0.12      0.0424    -0.02   0.03    -0.90   0.10     7.50    +0.20      -0.21       -4.05   +0.29     -0.50      -11.6   +0.4       -0.5        10.51   +0.11      -0.10       1         100          --
SNF20080815-017   +0.02   0.14      0.0637    -0.02   0.03    -1.82   0.16     8.41    +0.12      -0.13       -4.11   +0.37     -0.61      -12.5   +0.4       -0.6        11.12   +0.10      -0.10       0         100          --
SNF20080821-000   -0.12   0.12      0.0737    +0.02   0.03    +0.52   0.17     8.76    +0.10      -0.10       -2.12   +0.01     -0.01      -10.9   +0.1       -0.1        10.53   +0.10      -0.10       28        100          --
SNF20080822-005   -0.19   0.12      0.0696    -0.03   0.03    +0.71   0.23     8.22    +0.13      -0.13       -2.69   +0.03     -0.03      -10.9   +0.1       -0.1        10.92   +0.10      -0.09       24        100          --
SNF20080825-010   -0.22   0.13      0.0401    -0.03   0.03    -0.81   0.17     8.51    +0.11      -0.11       -3.95   +0.24     -0.41      -12.5   +0.3       -0.4        10.92   +0.10      -0.10       0         100          --
SNF20080908-000   +0.02   0.12      0.0514    -0.10   0.03    +0.18   0.20     7.46    +0.17      -0.17       -2.69   +0.02     -0.02      -10.2   +0.2       -0.2        8.41    +0.11      -0.11       100       0            --
SNF20080909-030   -0.04   0.13      0.0301    +0.01   0.03    +1.20   0.13     6.90    +0.16      -0.17       -2.71   +0.02     -0.02      -9.6    +0.2       -0.2        9.23    +0.10      -0.10       100       0            --
SNF20080913-031   -0.08   0.14      0.0543    +0.01   0.03    +0.06   0.19     7.36    +0.26      -0.27       -4.02   +0.29     -0.49      -11.4   +0.4       -0.5        10.52   +0.10      -0.10       8         100          --
SNF20080914-001   -0.08   0.15      0.0235    +0.13   0.03    -0.07   0.14     8.47    +0.10      -0.10       -2.69   +0.01     -0.01      -11.2   +0.1       -0.1        10.00   +0.10      -0.10       0         51           --
SNF20080918-000   +0.10   0.12      0.0653    +0.12   0.03    +1.38   0.24     7.80    +0.14      -0.15       -2.76   +0.02     -0.02      -10.6   +0.1       -0.1        10.22   +0.10      -0.10       95        98           --
SNF20080919-001   -0.33   0.13      0.0411    -0.00   0.03    +0.84   0.16     8.09    +0.16      -0.15       -2.86   +0.03     -0.03      -10.9   +0.1       -0.2        8.30    +0.12      -0.12       20        0            --
SNF20080919-002   +0.13   0.12      0.0548    +0.05   0.03    -1.59   0.13     7.89    +0.13      -0.13       -2.73   +0.02     -0.02      -10.6   +0.1       -0.1        9.95    +0.10      -0.10       93        32           --
SNF20080920-000   -0.06   0.13      0.0395    -0.01   0.03    +1.01   0.23     8.31    +0.10      -0.10       -2.21   +0.01     -0.01      -10.5   +0.1       -0.1        9.65    +0.10      -0.10       99        0            --
SNF20080926-009   -0.19   0.12      0.0713    -0.01   0.03    +0.22   0.10     7.46    +0.32      -0.38       -4.19   +0.36     -0.62      -11.7   +0.5       -0.7        9.14    +0.10      -0.11       6         0            --
CSS120424_01     +0.09   0.13      0.0372    -0.07   0.03    +0.85   0.17     6.96    +0.22      -0.24       -3.61   +0.10     -0.12      -10.6   +0.3       -0.2        10.18   +0.10      -0.10       82        95           1
CSS130502_01     +0.18   0.13      0.0338    -0.10   0.03    +0.02   0.23     7.15    +0.22      -0.22       -3.30   +0.07     -0.08      -10.4   +0.2       -0.2        9.17    +0.10      -0.10       94        0            1
LSQ12ekl          +0.03   0.12      0.0752*   -0.01   0.03    -0.37   0.13     7.57    +0.22      -0.22       -2.17   +0.01     -0.01      -9.8    +0.2       -0.2        9.57    +0.10      -0.10       100       0            --
LSQ12fmx          +0.05   0.13      0.0668    -0.04   0.03    -1.30   0.19     7.14    +0.33      -0.42       -3.29   +0.16     -0.24      -10.4   +0.5       -0.4        10.27   +0.10      -0.10       81        99           --
LSQ13vy           +0.01   0.13      0.0426*   +0.04   0.03    -1.25   0.11     7.83    +0.12      -0.12       -2.88   +0.03     -0.03      -10.7   +0.1       -0.1        10.43   +0.10      -0.10       79        100          --
PTF09dlc          +0.02   0.12      0.0661    -0.06   0.03    +0.11   0.11     7.27    +0.18      -0.20       -3.04   +0.05     -0.05      -10.3   +0.2       -0.2        8.74    +0.11      -0.11       99        0            2
PTF09dnl          -0.14   0.15      0.0232    +0.04   0.03    +0.69   0.10     7.62    +0.11      -0.11       -2.87   +0.01     -0.01      -10.5   +0.1       -0.1        7.93    +0.11      -0.11       99        0            2
PTF09dnp          -0.19   0.13      0.0374    -0.04   0.03    -0.84   0.24     7.57    +0.15      -0.15       -4.62   +0.38     -0.57      -12.2   +0.4       -0.6        10.71   +0.10      -0.10       0         100          2
PTF09foz          -0.17   0.12      0.0533    -0.02   0.03    -1.24   0.25     8.70    +0.10      -0.10       -4.60   +0.41     -0.53      -13.3   +0.4       -0.5        10.54   +0.10      -0.10       0         100          2
PTF10hmv          +0.35   0.13      0.0322    +0.12   0.03    +1.35   0.14     7.96    +0.11      -0.11       -2.65   +0.02     -0.02      -10.6   +0.1       -0.1        8.28    +0.10      -0.10       97        0            3
PTF10mwb          +0.13   0.15      0.0312    -0.03   0.03    -0.69   0.10     7.98    +0.11      -0.10       -3.10   +0.03     -0.03      -11.1   +0.1       -0.1        9.01    +0.10      -0.10       1         0            2
PTF10qjl          +0.11   0.12      0.0576    -0.06   0.03    +1.27   0.14     7.51    +0.14      -0.14       -2.06   +0.01     -0.01      -9.6    +0.1       -0.1        8.81    +0.10      -0.10       100       0            2
PTF10qjq          -0.09   0.14      0.0280    +0.03   0.03    -0.30   0.10     8.97    +0.10      -0.10       -1.21   +0.01     -0.01      -10.2   +0.1       -0.1        9.75    +0.10      -0.10       100       0            2
PTF10tce          -0.00   0.12      0.0397    +0.01   0.03    +0.47   0.12     7.68    +0.15      -0.15       -3.81   +0.33     -0.55      -11.5   +0.3       -0.6        10.16   +0.10      -0.10       1         94           3
PTF10wnm          +0.02   0.12      0.0648*   -0.02   0.03    +0.66   0.15     8.17    +0.11      -0.11       -2.53   +0.03     -0.03      -10.7   +0.1       -0.1        10.22   +0.10      -0.10       83        98           2
PTF10wof          +0.12   0.12      0.0513    +0.00   0.03    +0.17   0.12     7.82    +0.12      -0.13       -2.87   +0.05     -0.05      -10.7   +0.1       -0.1        9.69    +0.10      -0.10       83        0            2
PTF10xyt          +0.37   0.13      0.0476*   +0.11   0.03    -0.11   0.20     8.74    +0.10      -0.10       -1.84   +0.01     -0.01      -10.6   +0.1       -0.1        9.26    +0.10      -0.10       99        0            3
PTF10zdk          +0.09   0.13      0.0317*   +0.07   0.03    +0.22   0.16     8.38    +0.10      -0.10       -2.09   +0.01     -0.01      -10.5   +0.1       -0.1        9.29    +0.10      -0.10       99        0            2
PTF11bnx          +0.18   0.12      0.0553    +0.07   0.03    -0.06   0.17     7.56    +0.12      -0.12       -1.86   +0.01     -0.01      -9.4    +0.1       -0.1        9.50    +0.10      -0.10       100       0            6
PTF11cao          +0.04   0.13      0.0402    +0.05   0.03    +0.23   0.13     7.85    +0.11      -0.11       -2.69   +0.03     -0.03      -10.6   +0.1       -0.1        9.62    +0.10      -0.10       99        0            6
PTF11mty          +0.02   0.12      0.0755*   -0.06   0.03    +0.83   0.15     9.12    +0.10      -0.10       -0.89   +0.01     -0.01      -10.0   +0.1       -0.1        9.81    +0.10      -0.10       100       3            6
PTF11pbp          -0.11   0.14      0.0277    +0.02   0.03    +0.09   0.13     8.05    +0.11      -0.11       -3.10   +0.03     -0.03      -11.2   +0.1       -0.1        10.83   +0.09      -0.10       0         100          5
PTF12dxm          -0.03   0.12      0.0638    +0.04   0.03    -2.21   0.18     7.85    +0.18      -0.22       -3.95   +0.26     -0.44      -11.8   +0.3       -0.5        11.19   +0.10      -0.10       0         100          6
PTF12iiq          -0.00   0.14      0.0284    -0.00   0.03    -1.42   0.10     8.74    +0.10      -0.10       -4.13   +0.24     -0.41      -12.9   +0.3       -0.4        10.66   +0.10      -0.10       0         100          4
SN2004ef          -0.10   0.18      0.0296    +0.05   0.03    -1.60   0.17     8.48    +0.10      -0.10       -2.90   +0.02     -0.02      -11.4   +0.1       -0.1        10.98   +0.10      -0.10       0         100          7
SN2004gc          -0.22   0.13      0.0320    +0.05   0.03    -0.46   0.11     9.14    +0.10      -0.10       -1.74   +0.01     -0.01      -10.9   +0.1       -0.1        10.20   +0.10      -0.10       29        97           8
SN2005hc          +0.12   0.13      0.0453    -0.05   0.03    +0.89   0.28     8.28    +0.11      -0.11       -2.87   +0.05     -0.05      -11.1   +0.1       -0.1        10.72   +0.10      -0.10       0         100          9
SN2005hj          -0.14   0.13      0.0563    +0.06   0.03    +1.96   0.49     8.47    +0.10      -0.11       -2.06   +0.01     -0.01      -10.5   +0.1       -0.1        9.60    +0.10      -0.10       99        0            10
SN2005ir          -0.09   0.14      0.0752    +0.04   0.04    +1.66   0.68     8.41    +0.10      -0.11       -1.75   +0.01     -0.01      -10.2   +0.1       -0.1        10.28   +0.10      -0.10       100       99           9
SN2006cj          -0.03   0.12      0.0683    -0.03   0.03    +0.48   0.18     8.05    +0.12      -0.12       -2.90   +0.04     -0.05      -11.0   +0.1       -0.1        10.66   +0.10      -0.10       14        100          11
SN2006dm          +0.11   0.16      0.0208    -0.02   0.03    -1.86   0.29     8.18    +0.11      -0.11       -4.08   +0.23     -0.37      -12.3   +0.3       -0.4        11.15   +0.10      -0.10       0         100          12
SN2006do          -0.12   0.15      0.0274    -0.04   0.03    -2.53   0.45     9.10    +0.10      -0.10       -4.39   +0.38     -0.63      -13.5   +0.4       -0.7        10.79   +0.10      -0.10       0         100          12
SN2006ob          -0.15   0.13      0.0582    -0.02   0.03    -2.57   0.24     8.83    +0.11      -0.11       -3.93   +0.27     -0.45      -12.8   +0.3       -0.5        11.38   +0.10      -0.10       0         100          9
SN2007bc          -0.11   0.15      0.0219    -0.02   0.03    -0.81   0.24     7.74    +0.12      -0.12       -5.62   +1.04     -1.24      -13.4   +1.0       -1.2        10.96   +0.10      -0.10       0         100          12
SN2007bd          +0.04   0.14      0.0314    -0.07   0.03    -0.52   0.35     8.65    +0.10      -0.10       -2.25   +0.01     -0.01      -10.9   +0.1       -0.1        10.98   +0.10      -0.10       20        100          12
SN2007cq          -0.17   0.14      0.0248    -0.08   0.03    -0.40   0.15     8.02    +0.10      -0.10       -2.79   +0.03     -0.03      -10.8   +0.1       -0.1        9.74    +0.10      -0.10       52        0            13
SN2007kk          -0.15   0.12      0.0407    -0.04   0.03    +0.54   0.15     8.35    +0.11      -0.11       -3.09   +0.05     -0.05      -11.4   +0.1       -0.1        11.32   +0.10      -0.10       0         100          12
