# night ext_offset mean_airmass num_stds diff_airmass std_weight
05_326 0.013177984130589238 1.5899300575256348 1 0.0 0.0
05_329 0.006820110532995471 1.052435040473938 2 0.08162999 0.08162999
05_331 0.016991162102291568 1.0406750440597534 2 0.036710024 0.036710024
05_334 -0.007927520484757977 1.4732200304667156 3 1.0042901 1.0930401
05_336 -0.00840863724064711 1.5077699025472004 3 0.92061996 1.0166999
06_014 -0.017885145980942596 1.379525593348912 7 1.0696901 2.341446
06_016 -0.007556646689730329 1.4944899082183838 2 0.11176002 0.11176002
06_020 -0.036683593367556 1.1341933409372966 3 0.27373004 0.35521328
06_021 0.044240240057288105 1.1184899806976318 1 0.0 0.0
06_034 0.008532842849877653 1.0018399953842163 1 0.0 0.0
06_039 0.009762033271659476 1.0535933176676433 3 0.09876001 0.10429323
06_041 -0.034501467364146166 1.0150749683380127 2 0.020449996 0.020449996
06_046 0.021319442397231825 1.633739948272705 1 0.0 0.0
06_056 0.026632505959909736 1.4030133883158367 3 0.63105 0.8039466
06_066 -0.011471533630624364 1.1040449142456055 2 0.17754996 0.17754996
06_071 -0.03353839022874894 1.1233400106430054 2 0.24404001 0.24404001
06_096 0.01758645951843718 1.2528049945831299 8 0.76346993 2.04814
06_099 0.004416858620748698 1.2796050310134888 4 0.72094 0.93855
06_101 -0.01186183423339493 1.4166899919509888 2 0.49546003 0.49546003
06_114 0.003939285087925626 1.1335999965667725 1 0.0 0.0
06_117 0.0038734564947482397 1.139050006866455 2 0.120599985 0.120599985
06_129 -0.021316316769446786 1.2813133398691814 3 0.59475994 0.7488133
06_130 -0.03794672928936116 1.3363100290298462 1 0.0 0.0
06_131 -0.02304480967842437 1.6226000785827637 4 0.84775996 1.3881199
06_134 0.12441519632165665 1.4652550220489502 2 0.10670996 0.10670996
06_139 -0.004291764613679305 1.319533920288086 5 0.69038 1.4088639
06_141 -0.0066727906512280555 1.4012775421142578 4 0.8881099 1.2868899
06_144 0.021627964837323432 1.1912011040581598 9 0.68263006 1.0731555
06_146 0.00041830811893106556 1.2495841979980469 7 0.60998 1.3448826
06_151 -0.005238387028352776 1.1656501293182373 8 0.5038799 0.7469207
06_154 0.014743248390187702 1.2456689410739474 9 0.3511399 0.97056866
06_156 0.011342949466211394 1.2087756565638952 7 0.61361 0.9025681
06_157 -0.006363380431782417 1.1734489440917968 10 0.39931 0.9372299
06_158 -0.0001884699798218037 1.2960472106933594 18 0.91128993 3.9791245
06_159 -0.00034488060522619435 1.2682628631591797 7 0.6322899 1.1171227
06_160 -0.016872046216635184 1.3598546248215895 13 0.8372899 2.6650846
06_161 0.0007218205648680254 1.2928588390350342 8 0.86161995 1.4073076
06_162 0.0277827542095892 1.1593548910958427 14 0.33958006 1.0990199
06_163 0.0026185560426768006 1.3053578915803328 23 0.8849801 5.377955
06_164 0.014082909508790209 1.2669613701956612 7 0.69360995 1.0924339
06_169 0.012791264744548059 1.2501237175681374 11 0.64637995 1.8868637
06_171 -0.023187997915188774 1.2911900111607142 7 0.69455993 1.06646
06_176 0.030855819262821882 1.2757958003452845 7 0.34446 0.9356942
06_178 -0.024769557879205095 1.2092799186706542 5 0.40462005 0.61648
06_181 0.007284166754780941 1.274167537689209 8 0.49450994 1.4863399
06_184 -0.0018350988325419593 1.1273487938774958 9 0.32075 0.5608463
06_186 0.013113689874449719 1.2140175501505535 12 0.58202994 2.113955
06_189 -0.013825504670903044 1.3266079902648926 10 0.73291004 1.80554
06_191 -0.017392278619215773 1.1923930168151855 10 0.48601007 1.1133162
06_192 -0.010906591494650897 1.4152515729268391 6 1.0078901 2.15999
06_194 -0.006604052528116355 1.2584375143051147 8 0.77088 1.22195
